datetime,location,shooting_type,latitude,longitude,,
3/14/15 12:51,"Oak & MLK  Jersey City, NJ",Non-fatal,40.713555,-74.076493,,
3/15/15 0:48,"41 Crescent Avenue  Jersey City, NJ",Non-fatal,40.717103,-74.07105,,
3/21/15 0:45,"Cator and Old Bergen Rd.  Jersey City, NJ",Non-fatal,40.698958,-74.092273,,
4/15/15 22:32,"94 Union St  Jersey City, NJ",Non-fatal,40.714142,-74.07462,,
4/18/15 22:36,"Union st & MLK Dr  Jersey City, NJ",Non-fatal,40.714133,-74.075941,,
5/12/15 23:43,"Union MLK  Jersey City, NJ",Non-fatal,40.714299,-74.075892,,
5/23/15 0:04,"Van Cleef & Wegman Pkwy  Jersey City, NJ",Non-fatal,40.704404,-74.081964,,
5/27/15 14:41,"Sackett and Bramhall  Jersey City, NJ",Fatal,40.716257,-74.076691,,
5/27/15 15:17,"157 MLK DR  Jersey City, NJ",Non-fatal,40.705418,-74.085797,,
5/27/15 12:45,"160 Martin Luther King Drive  Jersey City, NJ",Non-fatal,40.705213,-74.085481,,
6/14/15 1:18,"2 McAdoo  Jersey City, NJ",Fatal,40.699433,-74.089727,,
6/14/15 14:26,"Oak and MLK  Jersey City, NJ",Non-fatal,40.713555,-74.076493,,
6/14/15 19:02,"Orient and MLK  Jersey City, NJ",Fatal,40.710421,-74.079612,,
6/14/15 19:39,"Union and MLK  Jersey City, NJ",Non-fatal,40.714133,-74.075941,,
6/4/15 3:46,"117 Fulton Ave  Jersey City, NJ",Fatal,40.702622,-74.084151,,
7/5/15 1:18,"22 Fleet Steet  Jersey City, NJ",Fatal,40.733387,-74.052263,,
7/5/15 6:07,"Forrest and MLK Dr.  Jersey City, NJ",Non-fatal,40.712971,-74.077016,,
7/11/15 14:23,"Virginia & Bergen  Jersey City, NJ",Non-fatal,40.714087,-74.080749,,
7/12/15 4:12,"84 Van Wagenen Ave.  Jersey City, NJ",Non-fatal,40.732873,-74.06983,,
7/22/15 0:25,"79 Belmont Ave  Jersey City, NJ",Fatal,40.719792,-74.070818,,
7/25/15 2:15,"126 Woodlawn Ave.  Jersey City, NJ",Non-fatal,40.702784,-74.085154,,
8/21/15 22:15,"86 Sackett St.  Jersey City, NJ",Non-fatal,40.717112,-74.07567,,
8/21/15 22:06,"14 Lexington ave  Jersey City, NJ",Non-fatal,40.717492,-74.077817,,
8/22/15 19:50,"Wilkinson Ave. and Ocean Ave.  Jersey City, NJ",Non-fatal,40.705264,-74.078847,,
9/26/15 0:00,"Bergen Ave and Audubon Ave  Jersey City, NJ",Non-fatal,40.707307,-74.086133,,
